year_month,total_pnl,total_bets,avg_pnl_per_bet,total_staked,total_wins,win_rate,strategy_id,strategy_index,monthly_roi
2024-10,-95.10379999999992,26,-3.6578384615384585,4922.15,11,0.4230769230769231,strategy_2176,2176,-0.01932159726948588
2024-11,-2225.6506,38,-58.56975263157894,7048.36,11,0.2894736842105263,strategy_2176,2176,-0.31576857595242014
2024-12,804.3876,35,22.98250285714286,5186.57,17,0.4857142857142857,strategy_2176,2176,0.15509047405125162
2025-01,1380.8874999999998,44,31.383806818181814,7817.42,22,0.5,strategy_2176,2176,0.1766423577088093
2025-02,2310.1987999999997,29,79.66202758620689,6550.63,17,0.5862068965517241,strategy_2176,2176,0.3526681861133967
2025-03,-1646.2805,38,-43.32317105263158,9074.73,13,0.34210526315789475,strategy_2176,2176,-0.1814137169921309
2025-04,171.96039999999996,16,10.747524999999998,3539.66,7,0.4375,strategy_2176,2176,0.04858105015735974
2024-10,-95.10379999999992,26,-3.6578384615384585,4922.15,11,0.4230769230769231,strategy_2177,2177,-0.01932159726948588
2024-11,-2225.6506,38,-58.56975263157894,7048.36,11,0.2894736842105263,strategy_2177,2177,-0.31576857595242014
2024-12,804.3876,35,22.98250285714286,5186.57,17,0.4857142857142857,strategy_2177,2177,0.15509047405125162
2025-01,1380.8874999999998,44,31.383806818181814,7817.42,22,0.5,strategy_2177,2177,0.1766423577088093
2025-02,2310.1987999999997,29,79.66202758620689,6550.63,17,0.5862068965517241,strategy_2177,2177,0.3526681861133967
2025-03,-1646.2805,38,-43.32317105263158,9074.73,13,0.34210526315789475,strategy_2177,2177,-0.1814137169921309
2025-04,171.96039999999996,16,10.747524999999998,3539.66,7,0.4375,strategy_2177,2177,0.04858105015735974
2024-10,-95.10379999999992,26,-3.6578384615384585,4922.15,11,0.4230769230769231,strategy_2175,2175,-0.01932159726948588
2024-11,-2225.6506,38,-58.56975263157894,7048.36,11,0.2894736842105263,strategy_2175,2175,-0.31576857595242014
2024-12,804.3876,35,22.98250285714286,5186.57,17,0.4857142857142857,strategy_2175,2175,0.15509047405125162
2025-01,1380.8874999999998,44,31.383806818181814,7817.42,22,0.5,strategy_2175,2175,0.1766423577088093
2025-02,2310.1987999999997,29,79.66202758620689,6550.63,17,0.5862068965517241,strategy_2175,2175,0.3526681861133967
2025-03,-1646.2805,38,-43.32317105263158,9074.73,13,0.34210526315789475,strategy_2175,2175,-0.1814137169921309
2025-04,171.96039999999996,16,10.747524999999998,3539.66,7,0.4375,strategy_2175,2175,0.04858105015735974
2024-10,663.3595,20,33.167975,3976.65,10,0.5,strategy_2625,2625,0.16681364968000703
2024-11,-2654.0447,33,-80.42559696969697,6360.08,8,0.24242424242424243,strategy_2625,2625,-0.41729737676255646
2024-12,10.618399999999951,27,0.3932740740740723,4144.19,12,0.4444444444444444,strategy_2625,2625,0.0025622377352389615
2025-01,1002.0375000000001,35,28.629642857142862,5745.42,17,0.4857142857142857,strategy_2625,2625,0.17440630972148252
2025-02,2551.6875,25,102.0675,5224.4,16,0.64,strategy_2625,2625,0.4884173302197382
2025-03,-1737.8568,27,-64.36506666666666,5908.49,8,0.2962962962962963,strategy_2625,2625,-0.2941287537086464
2025-04,785.2631000000001,13,60.404853846153856,2806.12,7,0.5384615384615384,strategy_2625,2625,0.2798394580417089
2024-10,663.3595,20,33.167975,3976.65,10,0.5,strategy_2627,2627,0.16681364968000703
2024-11,-2654.0447,33,-80.42559696969697,6360.08,8,0.24242424242424243,strategy_2627,2627,-0.41729737676255646
2024-12,10.618399999999951,27,0.3932740740740723,4144.19,12,0.4444444444444444,strategy_2627,2627,0.0025622377352389615
2025-01,1002.0375000000001,35,28.629642857142862,5745.42,17,0.4857142857142857,strategy_2627,2627,0.17440630972148252
2025-02,2551.6875,25,102.0675,5224.4,16,0.64,strategy_2627,2627,0.4884173302197382
2025-03,-1737.8568,27,-64.36506666666666,5908.49,8,0.2962962962962963,strategy_2627,2627,-0.2941287537086464
2025-04,785.2631000000001,13,60.404853846153856,2806.12,7,0.5384615384615384,strategy_2627,2627,0.2798394580417089
2024-10,663.3595,20,33.167975,3976.65,10,0.5,strategy_2626,2626,0.16681364968000703
2024-11,-2654.0447,33,-80.42559696969697,6360.08,8,0.24242424242424243,strategy_2626,2626,-0.41729737676255646
2024-12,10.618399999999951,27,0.3932740740740723,4144.19,12,0.4444444444444444,strategy_2626,2626,0.0025622377352389615
2025-01,1002.0375000000001,35,28.629642857142862,5745.42,17,0.4857142857142857,strategy_2626,2626,0.17440630972148252
2025-02,2551.6875,25,102.0675,5224.4,16,0.64,strategy_2626,2626,0.4884173302197382
2025-03,-1737.8568,27,-64.36506666666666,5908.49,8,0.2962962962962963,strategy_2626,2626,-0.2941287537086464
2025-04,785.2631000000001,13,60.404853846153856,2806.12,7,0.5384615384615384,strategy_2626,2626,0.2798394580417089
2024-10,548.5419000000002,26,21.097765384615393,5222.71,13,0.5,strategy_2535,2535,0.105030128036977
2024-11,-2013.2386999999999,48,-41.94247291666667,9570.18,18,0.375,strategy_2535,2535,-0.21036581339117966
2024-12,406.9424,34,11.968894117647059,5593.22,17,0.5,strategy_2535,2535,0.07275637289432563
2025-01,979.5466999999999,45,21.76770444444444,8113.16,22,0.4888888888888889,strategy_2535,2535,0.12073553338033514
2025-02,2688.9958,31,86.7418,6959.67,19,0.6129032258064516,strategy_2535,2535,0.386368290450553
2025-03,-2178.0561000000002,34,-64.06047352941177,8102.94,11,0.3235294117647059,strategy_2535,2535,-0.2687982510051907
2025-04,170.3976000000002,16,10.649850000000013,3618.19,7,0.4375,strategy_2535,2535,0.04709470757478192
2024-10,548.5419000000002,26,21.097765384615393,5222.71,13,0.5,strategy_2536,2536,0.105030128036977
2024-11,-2013.2386999999999,48,-41.94247291666667,9570.18,18,0.375,strategy_2536,2536,-0.21036581339117966
2024-12,406.9424,34,11.968894117647059,5593.22,17,0.5,strategy_2536,2536,0.07275637289432563
2025-01,979.5466999999999,45,21.76770444444444,8113.16,22,0.4888888888888889,strategy_2536,2536,0.12073553338033514
2025-02,2688.9958,31,86.7418,6959.67,19,0.6129032258064516,strategy_2536,2536,0.386368290450553
2025-03,-2178.0561000000002,34,-64.06047352941177,8102.94,11,0.3235294117647059,strategy_2536,2536,-0.2687982510051907
2025-04,170.3976000000002,16,10.649850000000013,3618.19,7,0.4375,strategy_2536,2536,0.04709470757478192
2024-10,548.5419000000002,26,21.097765384615393,5222.71,13,0.5,strategy_2537,2537,0.105030128036977
2024-11,-2013.2386999999999,48,-41.94247291666667,9570.18,18,0.375,strategy_2537,2537,-0.21036581339117966
2024-12,406.9424,34,11.968894117647059,5593.22,17,0.5,strategy_2537,2537,0.07275637289432563
2025-01,979.5466999999999,45,21.76770444444444,8113.16,22,0.4888888888888889,strategy_2537,2537,0.12073553338033514
2025-02,2688.9958,31,86.7418,6959.67,19,0.6129032258064516,strategy_2537,2537,0.386368290450553
2025-03,-2178.0561000000002,34,-64.06047352941177,8102.94,11,0.3235294117647059,strategy_2537,2537,-0.2687982510051907
2025-04,170.3976000000002,16,10.649850000000013,3618.19,7,0.4375,strategy_2537,2537,0.04709470757478192
2024-10,865.9286,46,18.824534782608694,9285.41,26,0.5652173913043478,strategy_2445,2445,0.09325690518781615
2024-11,-1470.3542,69,-21.30948115942029,14357.44,33,0.4782608695652174,strategy_2445,2445,-0.1024106108052689
2024-12,395.3912,57,6.936687719298246,10103.56,31,0.543859649122807,strategy_2445,2445,0.03913384985094363
2025-01,616.2129999999999,65,9.480199999999998,12652.05,33,0.5076923076923077,strategy_2445,2445,0.04870459727870186
2025-02,1395.2326,40,34.880815,8925.91,21,0.525,strategy_2445,2445,0.1563126448731838
2025-03,-1227.5067000000001,45,-27.27792666666667,10223.460000000001,20,0.4444444444444444,strategy_2445,2445,-0.1200676385489844
2025-04,0.6826000000000079,28,0.02437857142857171,6385.85,14,0.5,strategy_2445,2445,0.00010689258281982945
