category,rank_by,value,edge_threshold,min_odds,stake_method,stake_size,ev_method,max_stake_pct,roi,win_rate,profit,max_drawdown,sharpe_ratio,prediction_accuracy,total_return_pct,avg_odds,avg_bet_size,total_bets,winning_bets,total_staked,total_returns,final_bankroll
best_roi,roi,-0.16377462999999953,0.05,1.8,fixed,0.02,kelly_enhanced,0.1,-0.16377462999999953,0.44534412955465585,-1637.7462999999952,0.2960234561725348,-0.3738543041003634,0.0,-0.16377462999999948,2.233076923076923,188.96267206477734,247,110,46673.77999999998,45036.0337,8362.253700000005
best_sharpe,sharpe_ratio,-0.24664368188150976,0.1,1.8,kelly,0.5,basic,0.1,-0.927633709999999,0.44298245614035087,-9276.33709999999,0.9512072348122215,-0.24664368188150976,0.0,-0.927633709999999,2.272258771929825,312.2583991228071,456,202,142389.83000000005,133113.4929000001,723.6629000000105
best_risk_adjusted,risk_adjusted_return,-0.48538793125903795,0.05,1.3,fixed,0.02,kelly_enhanced,0.1,-0.1648265099999986,0.5078534031413613,-1648.265099999986,0.3295768608676743,-0.31418385866988635,0.0,-0.1648265099999986,2.016256544502618,195.850445026178,382,194,74814.86999999994,73166.60489999995,8351.734900000014
