game_id,date,selection,model_prob,odds,bookmaker,stake,ev_method,selected_ev,all_ev_calcs,bet_won,payout,net_result,bankroll_before,predicted_winner,actual_winner,prediction_correct,bankroll_after,strategy_id,strategy_index
4046,2024-10-24,home,0.645987752790672,2.51,iFortuna.cz,181.32,confidence_weighted,0.40143569086573916,"{'basic_ev': np.float64(0.6214292595045865), 'kelly_enhanced_ev': np.float64(0.15535731487614662), 'confidence_weighted_ev': np.float64(0.40143569086573916), 'kelly_fraction': 0.25, 'confidence': np.float64(0.291975505581344)}",True,455.11319999999995,273.79319999999996,9066.0362,HOME,HOME,True,9339.8294,strategy_2176,2176
4052,2024-10-24,home,0.5531433992712503,2.25,Betano.cz,186.8,confidence_weighted,0.13528374608279584,"{'basic_ev': np.float64(0.24457264836031323), 'kelly_enhanced_ev': np.float64(0.04785262426078194), 'confidence_weighted_ev': np.float64(0.13528374608279584), 'kelly_fraction': np.float64(0.1956581186882506), 'confidence': np.float64(0.10628679854250067)}",False,0.0,-186.8,9339.8294,HOME,AWAY,False,9153.029400000001,strategy_2176,2176
4057,2024-10-26,home,0.6394306062583865,2.06,iFortuna.cz,183.06,confidence_weighted,0.2028446841947471,"{'basic_ev': np.float64(0.3172270488922764), 'kelly_enhanced_ev': np.float64(0.0793067622230691), 'confidence_weighted_ev': np.float64(0.2028446841947471), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2788612125167731)}",True,377.10360000000003,194.04360000000003,9153.029400000001,HOME,HOME,True,9347.073000000002,strategy_2176,2176
4064,2024-10-26,home,0.581176727556789,2.26,iFortuna.cz,186.94,confidence_weighted,0.1821753108003879,"{'basic_ev': np.float64(0.31345940427834296), 'kelly_enhanced_ev': np.float64(0.07798158581788386), 'confidence_weighted_ev': np.float64(0.1821753108003879), 'kelly_fraction': np.float64(0.24877730498281192), 'confidence': np.float64(0.1623534551135779)}",False,0.0,-186.94,9347.073000000002,HOME,AWAY,False,9160.133000000002,strategy_2176,2176
4072,2024-10-27,home,0.627692724342313,3.3,iFortuna.cz,183.2,confidence_weighted,0.6725011910921943,"{'basic_ev': np.float64(1.0713859903296328), 'kelly_enhanced_ev': np.float64(0.2678464975824082), 'confidence_weighted_ev': np.float64(0.6725011910921943), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2553854486846261)}",False,0.0,-183.2,9160.133000000002,HOME,AWAY,False,8976.933,strategy_2176,2176
4075,2024-10-28,home,0.5318914165986716,2.31,iFortuna.cz,179.54,confidence_weighted,0.12162717000992748,"{'basic_ev': np.float64(0.22866917234293127), 'kelly_enhanced_ev': np.float64(0.03991571784732916), 'confidence_weighted_ev': np.float64(0.12162717000992748), 'kelly_fraction': np.float64(0.17455662010910783), 'confidence': np.float64(0.06378283319734313)}",False,0.0,-179.54,8976.933,HOME,AWAY,False,8797.393,strategy_2176,2176
4076,2024-10-28,home,0.5274320964150834,2.96,iFortuna.cz,175.95,confidence_weighted,0.29599436791819367,"{'basic_ev': np.float64(0.5611990053886469), 'kelly_enhanced_ev': np.float64(0.14029975134716172), 'confidence_weighted_ev': np.float64(0.29599436791819367), 'kelly_fraction': 0.25, 'confidence': np.float64(0.05486419283016675)}",True,520.812,344.862,8797.393,HOME,HOME,True,9142.255,strategy_2176,2176
4084,2024-10-29,home,0.6751535262020121,2.46,iFortuna.cz,182.85,confidence_weighted,0.44619389229779505,"{'basic_ev': np.float64(0.6608776744569498), 'kelly_enhanced_ev': np.float64(0.16521941861423745), 'confidence_weighted_ev': np.float64(0.44619389229779505), 'kelly_fraction': 0.25, 'confidence': np.float64(0.35030705240402416)}",False,0.0,-182.85,9142.255,HOME,AWAY,False,8959.404999999999,strategy_2176,2176
4089,2024-10-29,home,0.5500914536615805,2.35,Betano.cz,179.19,confidence_weighted,0.16101997370846985,"{'basic_ev': np.float64(0.29271491610471423), 'kelly_enhanced_ev': np.float64(0.06346816452606657), 'confidence_weighted_ev': np.float64(0.16101997370846985), 'kelly_fraction': np.float64(0.21682586378126978), 'confidence': np.float64(0.10018290732316104)}",True,421.0965,241.9065,8959.404999999999,HOME,HOME,True,9201.311499999998,strategy_2176,2176
4090,2024-10-30,home,0.5811676815894343,2.18,iFortuna.cz,184.03,confidence_weighted,0.15514012400096888,"{'basic_ev': np.float64(0.266945545864967), 'kelly_enhanced_ev': np.float64(0.060389766489106086), 'confidence_weighted_ev': np.float64(0.15514012400096888), 'kelly_fraction': np.float64(0.22622503886861606), 'confidence': np.float64(0.16233536317886865)}",True,401.1854,217.15540000000001,9201.311499999998,HOME,HOME,True,9418.466899999998,strategy_2176,2176
4093,2024-10-30,home,0.5961447837090619,2.17,iFortuna.cz,188.37,confidence_weighted,0.17504848511238552,"{'basic_ev': np.float64(0.2936341806486642), 'kelly_enhanced_ev': np.float64(0.07340854516216605), 'confidence_weighted_ev': np.float64(0.17504848511238552), 'kelly_fraction': 0.25, 'confidence': np.float64(0.19228956741812375)}",True,408.7629,220.3929,9418.466899999998,HOME,HOME,True,9638.859799999998,strategy_2176,2176
4100,2024-10-31,home,0.5321390580755578,2.38,iFortuna.cz,192.78,confidence_weighted,0.1418102474927519,"{'basic_ev': np.float64(0.2664909582198276), 'kelly_enhanced_ev': np.float64(0.05146190638617529), 'confidence_weighted_ev': np.float64(0.1418102474927519), 'kelly_fraction': np.float64(0.19310939001436783), 'confidence': np.float64(0.06427811615111567)}",True,458.8164,266.03639999999996,9638.859799999998,HOME,HOME,True,9904.8962,strategy_2176,2176
4106,2024-11-01,home,0.6555962394596498,2.0,Betano.cz,198.1,confidence_weighted,0.20401661892761924,"{'basic_ev': np.float64(0.3111924789192997), 'kelly_enhanced_ev': np.float64(0.07779811972982492), 'confidence_weighted_ev': np.float64(0.20401661892761924), 'kelly_fraction': 0.25, 'confidence': np.float64(0.3111924789192997)}",False,0.0,-198.1,9904.8962,HOME,AWAY,False,9706.796199999999,strategy_2176,2176
4105,2024-11-01,home,0.5501011334607123,2.47,iFortuna.cz,194.14,confidence_weighted,0.19734867141514603,"{'basic_ev': np.float64(0.3587497996479596), 'kelly_enhanced_ev': np.float64(0.08755198554248378), 'confidence_weighted_ev': np.float64(0.19734867141514603), 'kelly_fraction': np.float64(0.244047482753714), 'confidence': np.float64(0.10020226692142464)}",True,479.5258,285.3858,9706.796199999999,HOME,HOME,True,9992.181999999999,strategy_2176,2176
4117,2024-11-02,home,0.5142984161727915,2.77,iFortuna.cz,199.84,confidence_weighted,0.21837450845883033,"{'basic_ev': np.float64(0.4246066127986323), 'kelly_enhanced_ev': np.float64(0.10185919527250151), 'confidence_weighted_ev': np.float64(0.21837450845883033), 'kelly_fraction': np.float64(0.23989074169414254), 'confidence': np.float64(0.028596832345582968)}",True,553.5568000000001,353.71680000000003,9992.181999999999,HOME,HOME,True,10345.898799999999,strategy_2176,2176
4123,2024-11-03,home,0.5534894215402945,2.35,iFortuna.cz,206.92,confidence_weighted,0.16643434688867856,"{'basic_ev': np.float64(0.3007001406196921), 'kelly_enhanced_ev': np.float64(0.06697820338422414), 'confidence_weighted_ev': np.float64(0.16643434688867856), 'kelly_fraction': np.float64(0.2227408449034756), 'confidence': np.float64(0.10697884308058891)}",False,0.0,-206.92,10345.898799999999,HOME,AWAY,False,10138.978799999999,strategy_2176,2176
4127,2024-11-04,home,0.6962812227812488,2.13,iFortuna.cz,202.78,confidence_weighted,0.3363588399699608,"{'basic_ev': np.float64(0.48307900452405983), 'kelly_enhanced_ev': np.float64(0.12076975113101496), 'confidence_weighted_ev': np.float64(0.3363588399699608), 'kelly_fraction': 0.25, 'confidence': np.float64(0.39256244556249764)}",False,0.0,-202.78,10138.978799999999,HOME,AWAY,False,9936.198799999998,strategy_2176,2176
4130,2024-11-05,home,0.6106752280995037,2.0,Betano.cz,198.72,confidence_weighted,0.13517324032925804,"{'basic_ev': np.float64(0.2213504561990074), 'kelly_enhanced_ev': np.float64(0.048996024459508694), 'confidence_weighted_ev': np.float64(0.13517324032925804), 'kelly_fraction': np.float64(0.2213504561990074), 'confidence': np.float64(0.2213504561990074)}",True,397.44,198.72,9936.198799999998,HOME,HOME,True,10134.918799999998,strategy_2176,2176
4134,2024-11-05,home,0.6178249406985669,2.27,iFortuna.cz,202.7,confidence_weighted,0.24865144148408908,"{'basic_ev': np.float64(0.4024626153857467), 'kelly_enhanced_ev': np.float64(0.10061565384643667), 'confidence_weighted_ev': np.float64(0.24865144148408908), 'kelly_fraction': 0.25, 'confidence': np.float64(0.23564988139713372)}",False,0.0,-202.7,10134.918799999998,HOME,AWAY,False,9932.218799999997,strategy_2176,2176
4137,2024-11-05,home,0.5202280543083875,2.43,iFortuna.cz,198.64,confidence_weighted,0.1374204109210746,"{'basic_ev': np.float64(0.2641541719693816), 'kelly_enhanced_ev': np.float64(0.04879540319498575), 'confidence_weighted_ev': np.float64(0.1374204109210746), 'kelly_fraction': np.float64(0.18472319718138572), 'confidence': np.float64(0.040456108616774955)}",True,482.6952,284.0552,9932.218799999997,HOME,HOME,True,10216.273999999998,strategy_2176,2176
4147,2024-11-07,home,0.6368217519526516,2.1,Chance.cz,204.33,confidence_weighted,0.21481632994344185,"{'basic_ev': np.float64(0.3373256791005683), 'kelly_enhanced_ev': np.float64(0.08433141977514208), 'confidence_weighted_ev': np.float64(0.21481632994344185), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2736435039053031)}",False,0.0,-204.33,10216.273999999998,HOME,AWAY,False,10011.943999999998,strategy_2176,2176
4162,2024-11-09,home,0.49044389995126575,2.74,iFortuna.cz,200.24,confidence_weighted,0.1751936857593583,"{'basic_ev': np.float64(0.3438162858664682), 'kelly_enhanced_ev': np.float64(0.06793657380862814), 'confidence_weighted_ev': np.float64(0.1751936857593583), 'kelly_fraction': np.float64(0.19759556658992422), 'confidence': np.float64(0.0191122000974685)}",False,0.0,-200.24,10011.943999999998,AWAY,AWAY,True,9811.703999999998,strategy_2176,2176
4166,2024-11-09,home,0.6233651509433732,2.23,iFortuna.cz,196.23,confidence_weighted,0.24317741750238628,"{'basic_ev': np.float64(0.3901042866037223), 'kelly_enhanced_ev': np.float64(0.09752607165093058), 'confidence_weighted_ev': np.float64(0.24317741750238628), 'kelly_fraction': 0.25, 'confidence': np.float64(0.24673030188674638)}",False,0.0,-196.23,9811.703999999998,HOME,AWAY,False,9615.473999999998,strategy_2176,2176
4169,2024-11-09,home,0.7490507044849088,2.07,iFortuna.cz,192.31,confidence_weighted,0.41237859834602114,"{'basic_ev': np.float64(0.5505349582837611), 'kelly_enhanced_ev': np.float64(0.13763373957094027), 'confidence_weighted_ev': np.float64(0.41237859834602114), 'kelly_fraction': 0.25, 'confidence': np.float64(0.4981014089698177)}",False,0.0,-192.31,9615.473999999998,HOME,AWAY,False,9423.163999999999,strategy_2176,2176
4178,2024-11-11,home,0.5133485907300576,2.42,iFortuna.cz,188.46,confidence_weighted,0.12438620623291993,"{'basic_ev': np.float64(0.24230358956673936), 'kelly_enhanced_ev': np.float64(0.04134579543445556), 'confidence_weighted_ev': np.float64(0.12438620623291993), 'kelly_fraction': np.float64(0.1706363306808024), 'confidence': np.float64(0.026697181460115127)}",False,0.0,-188.46,9423.163999999999,HOME,AWAY,False,9234.704,strategy_2176,2176
4184,2024-11-12,home,0.591791707206669,2.55,Betano.cz,184.69,confidence_weighted,0.3012627258257197,"{'basic_ev': np.float64(0.5090688533770058), 'kelly_enhanced_ev': np.float64(0.12726721334425145), 'confidence_weighted_ev': np.float64(0.3012627258257197), 'kelly_fraction': 0.25, 'confidence': np.float64(0.18358341441333792)}",False,0.0,-184.69,9234.704,HOME,AWAY,False,9050.014,strategy_2176,2176
4200,2024-11-14,away,0.5906335380422132,2.21,Chance.cz,181.0,confidence_weighted,0.18032048949296692,"{'basic_ev': np.float64(0.30530011907329113), 'kelly_enhanced_ev': np.float64(0.07632502976832278), 'confidence_weighted_ev': np.float64(0.18032048949296692), 'kelly_fraction': 0.25, 'confidence': np.float64(0.18126707608442627)}",False,0.0,-181.0,9050.014,AWAY,HOME,False,8869.014,strategy_2176,2176
4204,2024-11-15,home,0.6192420414425892,2.06,Chance.cz,177.38,confidence_weighted,0.17068701269078074,"{'basic_ev': np.float64(0.2756386053717339), 'kelly_enhanced_ev': np.float64(0.06890965134293348), 'confidence_weighted_ev': np.float64(0.17068701269078074), 'kelly_fraction': 0.25, 'confidence': np.float64(0.23848408288517842)}",True,365.4028,188.02280000000002,8869.014,HOME,HOME,True,9057.0368,strategy_2176,2176
4216,2024-11-16,home,0.6504892136114455,2.0,Betano.cz,181.14,confidence_weighted,0.19578322043822807,"{'basic_ev': np.float64(0.30097842722289103), 'kelly_enhanced_ev': np.float64(0.07524460680572276), 'confidence_weighted_ev': np.float64(0.19578322043822807), 'kelly_fraction': 0.25, 'confidence': np.float64(0.30097842722289103)}",True,362.28,181.14,9057.0368,HOME,HOME,True,9238.1768,strategy_2176,2176
4217,2024-11-16,home,0.6924452514160236,2.2,Chance.cz,184.76,confidence_weighted,0.3624116862428968,"{'basic_ev': np.float64(0.5233795531152521), 'kelly_enhanced_ev': np.float64(0.13084488827881302), 'confidence_weighted_ev': np.float64(0.3624116862428968), 'kelly_fraction': 0.25, 'confidence': np.float64(0.3848905028320473)}",True,406.47200000000004,221.71200000000005,9238.1768,HOME,HOME,True,9459.888799999999,strategy_2176,2176
4211,2024-11-16,home,0.5995118167942259,2.28,Chance.cz,189.2,confidence_weighted,0.2199530573308568,"{'basic_ev': np.float64(0.36688694229083496), 'kelly_enhanced_ev': np.float64(0.09172173557270874), 'confidence_weighted_ev': np.float64(0.2199530573308568), 'kelly_fraction': 0.25, 'confidence': np.float64(0.19902363358845188)}",False,0.0,-189.2,9459.888799999999,HOME,AWAY,False,9270.688799999998,strategy_2176,2176
4221,2024-11-17,home,0.7454235248531541,2.02,Betano.cz,185.41,confidence_weighted,0.3770020625839376,"{'basic_ev': np.float64(0.5057555202033712), 'kelly_enhanced_ev': np.float64(0.1264388800508428), 'confidence_weighted_ev': np.float64(0.3770020625839376), 'kelly_fraction': 0.25, 'confidence': np.float64(0.4908470497063082)}",False,0.0,-185.41,9270.688799999998,HOME,AWAY,False,9085.278799999998,strategy_2176,2176
4226,2024-11-18,home,0.5806900860416766,2.68,iFortuna.cz,181.71,confidence_weighted,0.3230085297109241,"{'basic_ev': np.float64(0.5562494305916934), 'kelly_enhanced_ev': np.float64(0.13906235764792335), 'confidence_weighted_ev': np.float64(0.3230085297109241), 'kelly_fraction': 0.25, 'confidence': np.float64(0.1613801720833532)}",False,0.0,-181.71,9085.278799999998,HOME,AWAY,False,8903.5688,strategy_2176,2176
4225,2024-11-18,home,0.5207161989603327,3.4,iFortuna.cz,178.07,confidence_weighted,0.40117802456263635,"{'basic_ev': np.float64(0.7704350764651311), 'kelly_enhanced_ev': np.float64(0.19260876911628277), 'confidence_weighted_ev': np.float64(0.40117802456263635), 'kelly_fraction': 0.25, 'confidence': np.float64(0.04143239792066544)}",True,605.438,427.368,8903.5688,HOME,HOME,True,9330.9368,strategy_2176,2176
4239,2024-11-20,home,0.580719716237467,2.21,iFortuna.cz,186.62,confidence_weighted,0.16457049307003546,"{'basic_ev': np.float64(0.28339057288480207), 'kelly_enhanced_ev': np.float64(0.06637207999998043), 'confidence_weighted_ev': np.float64(0.16457049307003546), 'kelly_fraction': np.float64(0.23420708502876206), 'confidence': np.float64(0.16143943247493397)}",True,412.4302,225.8102,9330.9368,HOME,HOME,True,9556.747,strategy_2176,2176
4245,2024-11-21,home,0.5585384548116024,2.22,Chance.cz,191.13,confidence_weighted,0.13402430140579558,"{'basic_ev': np.float64(0.23995536968175735), 'kelly_enhanced_ev': np.float64(0.04719555691730232), 'confidence_weighted_ev': np.float64(0.13402430140579558), 'kelly_fraction': np.float64(0.19668472924734207), 'confidence': np.float64(0.11707690962320472)}",True,424.3086,233.17860000000002,9556.747,HOME,HOME,True,9789.925599999999,strategy_2176,2176
4250,2024-11-21,home,0.7617912410778883,2.29,iFortuna.cz,195.8,confidence_weighted,0.5671550584331574,"{'basic_ev': np.float64(0.7445019420683643), 'kelly_enhanced_ev': np.float64(0.18612548551709107), 'confidence_weighted_ev': np.float64(0.5671550584331574), 'kelly_fraction': 0.25, 'confidence': np.float64(0.5235824821557766)}",False,0.0,-195.8,9789.925599999999,HOME,AWAY,False,9594.1256,strategy_2176,2176
4251,2024-11-22,home,0.5351971629429506,2.47,iFortuna.cz,191.88,confidence_weighted,0.17229976501584196,"{'basic_ev': np.float64(0.321936992469088), 'kelly_enhanced_ev': np.float64(0.0705057327347222), 'confidence_weighted_ev': np.float64(0.17229976501584196), 'kelly_fraction': np.float64(0.2190047567816925), 'confidence': np.float64(0.07039432588590122)}",False,0.0,-191.88,9594.1256,HOME,AWAY,False,9402.2456,strategy_2176,2176
4255,2024-11-23,home,0.6229111739464348,2.2,iFortuna.cz,188.04,confidence_weighted,0.2307291534336815,"{'basic_ev': np.float64(0.3704045826821567), 'kelly_enhanced_ev': np.float64(0.09260114567053918), 'confidence_weighted_ev': np.float64(0.2307291534336815), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2458223478928696)}",False,0.0,-188.04,9402.2456,HOME,AWAY,False,9214.2056,strategy_2176,2176
4260,2024-11-23,away,0.6585089339077246,2.22,Chance.cz,184.28,confidence_weighted,0.3041585816928348,"{'basic_ev': np.float64(0.46188983327514865), 'kelly_enhanced_ev': np.float64(0.11547245831878716), 'confidence_weighted_ev': np.float64(0.3041585816928348), 'kelly_fraction': 0.25, 'confidence': np.float64(0.31701786781544916)}",False,0.0,-184.28,9214.2056,AWAY,HOME,False,9029.925599999999,strategy_2176,2176
4264,2024-11-23,home,0.6644225116121103,2.16,iFortuna.cz,180.6,confidence_weighted,0.28912520009169057,"{'basic_ev': np.float64(0.43515262508215824), 'kelly_enhanced_ev': np.float64(0.10878815627053956), 'confidence_weighted_ev': np.float64(0.28912520009169057), 'kelly_fraction': 0.25, 'confidence': np.float64(0.3288450232242206)}",False,0.0,-180.6,9029.925599999999,HOME,AWAY,False,8849.325599999998,strategy_2176,2176
4267,2024-11-23,home,0.6902403590489562,2.26,iFortuna.cz,176.99,confidence_weighted,0.38649540331871596,"{'basic_ev': np.float64(0.5599432114506409), 'kelly_enhanced_ev': np.float64(0.1399858028626602), 'confidence_weighted_ev': np.float64(0.38649540331871596), 'kelly_fraction': 0.25, 'confidence': np.float64(0.3804807180979124)}",False,0.0,-176.99,8849.325599999998,HOME,AWAY,False,8672.335599999999,strategy_2176,2176
4269,2024-11-25,home,0.5832396318592369,2.3,iFortuna.cz,173.45,confidence_weighted,0.19914784493474885,"{'basic_ev': np.float64(0.34145115327624476), 'kelly_enhanced_ev': np.float64(0.08536278831906119), 'confidence_weighted_ev': np.float64(0.19914784493474885), 'kelly_fraction': 0.25, 'confidence': np.float64(0.16647926371847377)}",False,0.0,-173.45,8672.335599999999,HOME,AWAY,False,8498.885599999998,strategy_2176,2176
4281,2024-11-26,home,0.6323323174380147,2.19,Chance.cz,169.98,confidence_weighted,0.2433263922535863,"{'basic_ev': np.float64(0.384807775189252), 'kelly_enhanced_ev': np.float64(0.096201943797313), 'confidence_weighted_ev': np.float64(0.2433263922535863), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2646646348760293)}",False,0.0,-169.98,8498.885599999998,HOME,AWAY,False,8328.905599999998,strategy_2176,2176
4287,2024-11-27,home,0.6257193588993935,2.0,Chance.cz,166.58,confidence_weighted,0.15733007330354246,"{'basic_ev': np.float64(0.2514387177987869), 'kelly_enhanced_ev': np.float64(0.06285967944969673), 'confidence_weighted_ev': np.float64(0.15733007330354246), 'kelly_fraction': 0.25, 'confidence': np.float64(0.2514387177987869)}",True,333.16,166.58,8328.905599999998,HOME,HOME,True,8495.485599999998,strategy_2176,2176
4295,2024-11-27,home,0.48656119353108296,2.96,Chance.cz,169.91,confidence_weighted,0.22602661303392832,"{'basic_ev': np.float64(0.4402211328520056), 'kelly_enhanced_ev': np.float64(0.09887481929056284), 'confidence_weighted_ev': np.float64(0.22602661303392832), 'kelly_fraction': np.float64(0.22460261880204369), 'confidence': np.float64(0.026877612937834083)}",False,0.0,-169.91,8495.485599999998,AWAY,AWAY,True,8325.575599999998,strategy_2176,2176
4303,2024-11-29,home,0.510333248529303,2.58,Chance.cz,166.51,confidence_weighted,0.16160201482123296,"{'basic_ev': np.float64(0.31665978120560156), 'kelly_enhanced_ev': np.float64(0.0634641879956832), 'confidence_weighted_ev': np.float64(0.16160201482123296), 'kelly_fraction': np.float64(0.20041758304151996), 'confidence': np.float64(0.020666497058605904)}",False,0.0,-166.51,8325.575599999998,HOME,AWAY,False,8159.065599999998,strategy_2176,2176
4297,2024-11-29,home,0.4944730109469515,2.74,iFortuna.cz,163.18,confidence_weighted,0.17938931050105203,"{'basic_ev': np.float64(0.35485604999464715), 'kelly_enhanced_ev': np.float64(0.07236943460793305), 'confidence_weighted_ev': np.float64(0.17938931050105203), 'kelly_fraction': np.float64(0.20394025861761328), 'confidence': np.float64(0.011053978106096984)}",False,0.0,-163.18,8159.065599999998,AWAY,AWAY,True,7995.885599999998,strategy_2176,2176
